08-05-2020 00:11:11.0013|INFO |notifyObservers
08-05-2020 00:11:11.0013|INFO |notifyObservers
08-05-2020 00:11:11.0013|INFO |notifyObservers
08-05-2020 00:11:11.0014|INFO |notifyObservers
08-05-2020 00:11:11.0014|INFO |notifyObservers
08-05-2020 00:11:11.0014|INFO |notifyObservers
08-05-2020 00:11:11.0014|INFO |notifyObservers
08-05-2020 00:11:11.0015|INFO |notifyObservers
08-05-2020 00:11:11.0015|INFO |notifyObservers
08-05-2020 00:11:11.0015|INFO |notifyObservers
08-05-2020 00:11:11.0015|INFO |notifyObservers
08-05-2020 00:11:11.0016|INFO |notifyObservers
08-05-2020 00:11:11.0016|INFO |notifyObservers
08-05-2020 00:11:11.0017|INFO |notifyObservers
08-05-2020 00:11:11.0017|INFO |notifyObservers
08-05-2020 00:11:11.0018|INFO |notifyObservers
08-05-2020 00:11:11.0018|INFO |notifyObservers
08-05-2020 00:11:11.0018|INFO |notifyObservers
08-05-2020 00:11:11.0018|INFO |notifyObservers
08-05-2020 00:11:11.0019|INFO |notifyObservers
08-05-2020 00:11:11.0019|INFO |notifyObservers
08-05-2020 00:11:11.0020|INFO |notifyObservers
08-05-2020 00:11:11.0020|INFO |notifyObservers
08-05-2020 00:11:11.0021|INFO |notifyObservers
08-05-2020 00:11:11.0021|INFO |notifyObservers
08-05-2020 00:11:11.0022|INFO |notifyObservers
08-05-2020 00:11:11.0022|INFO |notifyObservers
08-05-2020 00:11:11.0023|INFO |notifyObservers
08-05-2020 00:11:11.0023|INFO |notifyObservers
08-05-2020 00:11:11.0023|INFO |notifyObservers
08-05-2020 00:11:11.0024|INFO |notifyObservers
08-05-2020 00:11:11.0024|INFO |notifyObservers
08-05-2020 00:11:11.0025|INFO |notifyObservers
08-05-2020 00:11:11.0025|INFO |notifyObservers
08-05-2020 00:11:11.0026|INFO |notifyObservers
08-05-2020 00:11:11.0026|INFO |notifyObservers
08-05-2020 00:11:11.0026|INFO |notifyObservers
08-05-2020 00:11:11.0027|INFO |notifyObservers
08-05-2020 00:11:11.0027|INFO |notifyObservers
08-05-2020 00:11:11.0028|INFO |notifyObservers
08-05-2020 00:11:11.0028|INFO |notifyObservers
08-05-2020 00:11:11.0028|INFO |notifyObservers
08-05-2020 00:11:11.0029|INFO |notifyObservers
08-05-2020 00:11:11.0029|INFO |notifyObservers
08-05-2020 00:11:11.0030|INFO |notifyObservers
08-05-2020 00:11:11.0030|INFO |notifyObservers
08-05-2020 00:11:11.0031|INFO |notifyObservers
08-05-2020 00:11:11.0031|INFO |notifyObservers
08-05-2020 00:11:11.0031|INFO |notifyObservers
08-05-2020 00:11:11.0031|INFO |notifyObservers
08-05-2020 00:11:11.0032|INFO |notifyObservers
08-05-2020 00:11:11.0032|INFO |notifyObservers
08-05-2020 00:11:11.0032|INFO |notifyObservers
08-05-2020 00:11:11.0033|INFO |notifyObservers
08-05-2020 00:32:10.0448|INFO |Starting TradingSystemApplication on RASIS03 with PID 31392 (C:\WorkSpace\Wsep202\target\classes started by rasis in C:\WorkSpace\Wsep202)
08-05-2020 00:32:10.0457|INFO |No active profile set, falling back to default profiles: default
08-05-2020 00:32:19.0566|INFO |The system is now connected to the external systems
08-05-2020 00:32:21.0650|INFO |The user admin got encrypted password and salt
08-05-2020 00:32:21.0651|INFO |The system is now connected to the external systems
08-05-2020 00:32:27.0187|INFO |notifyObservers
08-05-2020 00:32:27.0419|INFO |Started TradingSystemApplication in 18.495 seconds (JVM running for 21.546)
08-05-2020 00:32:27.0702|INFO |creation the Directories for images
08-05-2020 00:32:27.0703|INFO |The Directory of the images exists
